model,split,accuracy,precision,recall,f1,roc_auc,pr_auc,confusion_matrix,threshold
random_forest,validation,0.9533333333333334,0.9335604770017035,0.924114671163575,0.9288135593220339,0.9884443053520009,0.9791724639966244,"[[1168, 39], [45, 548]]",0.42999999999999994
mlp,validation,0.9527777777777777,0.9247491638795987,0.9325463743676222,0.9286314021830394,0.9889584506343687,0.9804152758469737,"[[1162, 45], [40, 553]]",0.3449999999999999
xgboost,validation,0.9533333333333334,0.9380378657487092,0.9190556492411467,0.9284497444633731,0.9883856257273828,0.9795842304374617,"[[1171, 36], [48, 545]]",0.49999999999999994
logistic_regression,validation,0.9516666666666667,0.931740614334471,0.9207419898819561,0.926208651399491,0.9895634096215024,0.9813596731933079,"[[1167, 40], [47, 546]]",0.58
